Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
1;1000001;Free form with the seal of the employer;Other;1;0.35;female;0;0;Higher / Second higher / Academic degree;specialist;< 50;0;108;49;Trade;Limited Liability Company   (ООО);married;3;3;2;2;2;;;;;;;;;;;;;;;;;;;;;
1;1000021;Receipt of salary in the account;Treatment;1;0.16;female;0;0;Higher;middle manager;>250;0;95;35;Trade;Limited Liability Company   (ООО);single, not married;0;0;0;0;0;0.0273972603;0;0;0;0;0;0;3;71;3;0;3;26;78;1;0;0;0;0;0;0
1;1000041;Receipt of salary in the account;Repair;1;0.15;male;0;0;average;specialist;>250;0;88;30;Production;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000061;personal income tax 2NDFL;Vacation;1;0.43;female;1;0;Higher;middle manager;>250;1;122;32;Other;Other form;married;1;1;0;0;0;0.0900900901;1;1;0;0;0.5;4;4;101;8;2;2;3;41;1;0;0;0;0;0;0
1;1000081;personal income tax 2NDFL;Repair;1;0.29;male;0;0;Higher;senior manager;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000101;personal income tax 2NDFL;Buying a car;0;0.56;female;1;0;Higher;specialist;>250;0;7;26;Trade;closed joint stock company (ЗАО);married;1;0;0;0;0;0;0;3;0;0;0.8333333333;5;1;45;6;2;0;4;47;0;0;0;0;0;0;0
1;1000121;personal income tax 2NDFL;Repair;1;0.56;female;0;0;secondHigher;middle manager;>250;3;99;33;Other;closed joint stock company (ЗАО);single, not married;0;0;0;0;0;0.2222222222;0;1;0;0;0.5;1;1;7;2;0;1;4;4;1;0;0;0;0;0;0
1;1000141;Free form with the seal of the employer;Repair;1;0.49;female;0;2;Higher;senior manager;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000161;Receipt of salary in the account;Purchase of household appliances;1;0.41;female;0;0;Higher;support staff;>250;0;43;31;Trade;Limited Liability Company   (ООО);single, not married;0;0;0;0;0;0;0;0;0;0;0.5;1;1;53;2;0;1;27;29;0;0;0;0;0;0;0
1;1000181;Receipt of salary in the account;Repair;0;0.47;male;0;0;Higher;support staff;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
